Family	Fragments	Copies	Total_Mb	Coverage
1	DNA/EnSpmCACTA	2114	1397	4.058104	0.342976923076923
2	DNA/Harbinger	8	2	0.001681	0.0024
3	DNA/hAT	1431	898	0.789213	0.0668461538461538
4	DNA/hAT-Tip100	16	8	0.013663	0.00298
5	DNA/L1	1207	562	1.370224	0.115692307692308
6	DNA/MarinerTc1	86	46	0.065413	0.00590833333333333
7	DNA/MuDR	9853	6257	8.254745	0.697584615384615
8	DNA/MULE-MuDR	4	2	0.000988	5e-04
9	DNA/PIF-Harbinger	3	1	0.000809	0.0011
10	LTR	81	78	0.007243	0.000877777777777778
11	LTR/Copia	49375	29585	47.544279	3.99907692307692
12	LTR/Gypsy	667243	380271	513.436346	42.7945461538462
13	Type:DNA	14722	9173	14.55484	1.23002307692308
14	Type:EVERYTHING_TE	731421	419107	575.542708	48.0242307692308
15	Type:LINE	0	0	0	0
16	Type:LTR	716699	409934	560.987868	46.7942076923077
17	Type:Satellite	0	2	0.000336	4e-04
18	Type:SINE	0	0	0	0
19	Type:Unknown	0	0	0	0
