Family	Fragments	Copies	Total_Mb	Coverage
DNA/EnSpmCACTA	2114	1397	4.058104	0.342976923
DNA/Harbinger	8	2	0.001681	0.0024
DNA/hAT	1431	898	0.789213	0.066846154
DNA/hAT-Tip100	16	8	0.013663	0.00298
DNA/L1	1207	562	1.370224	0.115692308
DNA/MarinerTc1	86	46	0.065413	0.005908333
DNA/MuDR	9853	6257	8.254745	0.697584615
DNA/MULE-MuDR	4	2	0.000988	5.00E-04
DNA/PIF-Harbinger	3	1	0.000809	0.0011
LTR	81	78	0.007243	0.000877778
LTR/Copia	49375	29585	47.544279	3.999076923
LTR/Gypsy	667243	380271	513.436346	42.79454615
Type:DNA	14722	9173	14.55484	1.230023077
Type:EVERYTHING_TE	731421	419107	575.542708	48.02423077
Type:LINE	0	0	0	0
Type:LTR	716699	409934	560.987868	46.79420769
Type:Satellite	0	2	0.000336	4.00E-04
Type:SINE	0	0	0	0
Type:Unknown	0	0	0	0
