Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###1328/3578/2329	13.356	4.501	1.526	F01	1131549	1135530	1485	+	EnSpm-1_GR	DNA/EnSpmCACTA	2436	7022	(1785)	88/89/92	3	0.169
1328	11.8	10.0	3.2	F01	1131549	1131987	468	+	EnSpm-1_GR	DNA/EnSpmCACTA	2436	2903	(5904)	88	1
3578	12.0	2.9	0.7	F01	1132000	1132545	558	+	EnSpm-1_GR	DNA/EnSpmCACTA	5951	6508	(2299)	89	1
2329	16.5	1.1	0.9	F01	1135073	1135530	459	+	EnSpm-1_GR	DNA/EnSpmCACTA	6564	7022	(1785)	92	1

###2255/29984	16.223	1.767	0.849	F01	1925035	1934383	6113	+	EnSpm-1_GR	DNA/EnSpmCACTA	2695	8807	(0)	147/151	2	0.694
2255	18.5	4.5	3.4	F01	1925035	1925564	536	+	EnSpm-1_GR	DNA/EnSpmCACTA	2695	3230	(5577)	147	1
29984	16.0	1.5	0.6	F01	1928963	1934383	5579	+	EnSpm-1_GR	DNA/EnSpmCACTA	3229	8807	(0)	151	1

###9088/255	16.062	2.710	2.615	F01	2027433	2029398	1999	+	EnSpm-1_GR	DNA/EnSpmCACTA	6806	8807	(0)	176/177	2	0.227
9088	15.6	2.6	2.5	F01	2027433	2029244	1888	+	EnSpm-1_GR	DNA/EnSpmCACTA	6806	8693	(114)	176	1
255	23.6	4.5	4.5	F01	2029288	2029398	111	+	EnSpm-1_GR	DNA/EnSpmCACTA	8697	8807	(0)	177	1

###264	5.4	0.0	2.7	F01	3083870	3083907	37	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8771	252	1	0.004

###238/34194	15.270	1.308	1.491	F01	3392541	3398743	6522	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2211	294/294	2	0.741
238	10.5	2.6	0.0	F01	3392541	3392578	39	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8769	294	1
34194	15.3	1.3	1.5	F01	3392696	3398743	6483	C	EnSpm-1_GR	DNA/EnSpmCACTA	(114)	8693	2211	294	1

###8693/2599	15.820	3.796	3.068	F01	4579451	4581894	2832	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2381	505/506	2	0.322
8693	15.7	3.1	2.9	F01	4579451	4581310	1972	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6836	505	1
2599	16.2	6.0	3.6	F01	4581308	4581894	860	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5567)	3240	2381	506	1

###34825	15.1	1.8	3.3	F01	6364149	6370768	6524	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2284	906	1	0.741

###298/4521/1919	14.839	0.381	1.629	F01	7269327	7270709	1190	+	EnSpm-1_GR	DNA/EnSpmCACTA	2731	5063	(3744)	1119/1120/1121	3	0.135
298	9.3	2.3	10.3	F01	7269327	7269487	132	+	EnSpm-1_GR	DNA/EnSpmCACTA	2731	2862	(5945)	1119	1
4521	16.4	0.0	0.1	F01	7269654	7270411	757	+	EnSpm-1_GR	DNA/EnSpmCACTA	2900	3656	(5151)	1120	1
