Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###4255/7514	14.960	0.100	1.300	F11	8036665	8052972	1854	+	EnSpm-1_GR	DNA/EnSpmCACTA	3309	5166	(3641)	337596/337609	2	0.211
4255	14.7	0.1	0.0	F11	8036665	8037321	658	+	EnSpm-1_GR	DNA/EnSpmCACTA	3309	3966	(4841)	337596	1
7514	15.1	0.1	2.0	F11	8051754	8052972	1196	+	EnSpm-1_GR	DNA/EnSpmCACTA	3971	5166	(3641)	337609	1

###7943/11556	15.503	2.914	1.278	F11	8058295	8065278	3628	+	EnSpm-1_GR	DNA/EnSpmCACTA	5161	8788	(19)	337618/337620	2	0.412
7943	14.8	1.7	0.0	F11	8058295	8059584	1312	+	EnSpm-1_GR	DNA/EnSpmCACTA	5161	6472	(2335)	337618	1
11556	15.9	3.6	2.0	F11	8062994	8065278	2321	+	EnSpm-1_GR	DNA/EnSpmCACTA	6468	8788	(19)	337620	1

###228	10.8	0.0	2.7	F11	9571357	9571394	37	+	EnSpm-1_GR	DNA/EnSpmCACTA	8771	8807	(0)	337946	1	0.004

###228/6533/4090/12840	16.544	2.442	1.711	F11	9571534	9580505	4614	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	4194	337947/337947/337947/337947	4	0.524
228	6.1	0.0	3.0	F11	9571534	9571567	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8775	337947	1
6533	17.6	5.0	1.7	F11	9571581	9573120	1659	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2)	8805	7147	337947	1
4090	17.4	1.4	1.1	F11	9574065	9574856	794	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1654)	7153	6360	337947	1
12840	15.3	0.5	2.0	F11	9578304	9580505	2169	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2445)	6362	4194	337947	1

###230	3.2	6.5	0.0	F11	9586169	9586199	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	337956	1	0.004

###225	8.8	2.9	0.0	F11	9605994	9606027	35	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8772)	35	1	337963	1	0.004

###283	8.1	0.0	0.0	F11	9614403	9614439	37	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8771	337964	1	0.004

###6936/8723/235/236	15.809	3.233	1.075	F11	12253442	12259917	3021	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	338708/338708/338711/338712	4	0.343
6936	18.2	5.5	1.5	F11	12253442	12254986	1606	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7202	338708	1
8723	12.8	0.5	0.5	F11	12257868	12259219	1352	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1601)	7206	5855	338708	1
235	20.3	6.6	3.2	F11	12259585	12259645	63	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8738)	69	7	338711	1
236	23.4	6.1	2.9	F11	12259852	12259917	68	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8738)	69	2	338712	1

###34328	14.7	1.9	1.8	F11	14255534	14261684	6559	+	EnSpm-1_GR	DNA/EnSpmCACTA	2249	8807	(0)	339216	1	0.745

###256	5.4	0.0	2.7	F11	15730107	15730144	37	+	EnSpm-1_GR	DNA/EnSpmCACTA	8771	8807	(0)	339580	1	0.004

###245	9.1	0.0	0.0	F11	15730284	15730316	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	339581	1	0.004

###32520	16.4	2.2	0.6	F11	15730426	15736391	6131	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2677	339582	1	0.696

###238/33246	14.895	1.814	1.401	F11	16588715	16600414	5897	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8554	(253)	339803/339804	2	0.670
238	23.4	3.1	1.5	F11	16588715	16588779	66	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	66	(8741)	339803	1
33246	14.8	1.8	1.4	F11	16594606	16600414	5831	+	EnSpm-1_GR	DNA/EnSpmCACTA	2724	8554	(253)	339804	1

###33534	14.8	1.9	3.2	F11	16612945	16619341	6303	+	EnSpm-1_GR	DNA/EnSpmCACTA	2505	8807	(0)	339808	1	0.716

###8069	15.4	3.1	4.2	F11	18983981	18985774	1883	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6925	340492	1	0.214

###227	8.5	5.9	8.0	F11	18988783	18988833	50	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2)	8805	8756	340493	1	0.006

###24031	15.1	1.7	1.5	F11	19437879	19442243	4450	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8)	8799	4350	340661	1	0.505

###32596	16.5	2.2	0.9	F11	20243268	20249450	6742	+	EnSpm-1_GR	DNA/EnSpmCACTA	2066	8807	(0)	340910	1	0.766

###228	6.1	0.0	3.0	F11	20249518	20249551	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	340911	1	0.004

###229	6.2	3.1	0.0	F11	20249606	20249637	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	340912	1	0.004

###245	3.1	3.1	0.0	F11	20249690	20249721	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8775	340913	1	0.004

###260	5.6	2.8	0.0	F11	20249776	20249811	37	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8771	340913	1	0.004

###318/469/1078	18.764	5.020	3.608	F11	23767276	23770318	576	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	342284/342285/342286	3	0.065
318	21.3	4.0	7.1	F11	23767276	23767376	98	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	98	(8709)	342284	1
469	15.0	5.0	0.0	F11	23768885	23768984	105	+	EnSpm-1_GR	DNA/EnSpmCACTA	996	1100	(7707)	342285	1
1078	21.6	7.5	3.8	F11	23769959	23770318	373	+	EnSpm-1_GR	DNA/EnSpmCACTA	8435	8807	(0)	342286	1

###34141	15.0	1.5	1.9	F11	23811618	23817725	6167	+	EnSpm-1_GR	DNA/EnSpmCACTA	2641	8807	(0)	342308	1	0.700

###292/7555/25749/508	15.476	0.590	0.816	F11	24481653	24489153	5793	+	EnSpm-1_GR	DNA/EnSpmCACTA	1027	8693	(114)	342531/342532/342534/342535	4	0.658
292	15.3	2.7	1.4	F11	24481653	24481725	74	+	EnSpm-1_GR	DNA/EnSpmCACTA	1027	1100	(7707)	342531	1
7555	16.8	0.4	0.2	F11	24483387	24484661	1277	+	EnSpm-1_GR	DNA/EnSpmCACTA	2806	4082	(4725)	342532	1
25749	14.5	0.5	0.9	F11	24484692	24488968	4260	+	EnSpm-1_GR	DNA/EnSpmCACTA	4191	8450	(357)	342534	1
508	17.8	3.7	7.7	F11	24488965	24489153	182	+	EnSpm-1_GR	DNA/EnSpmCACTA	8512	8693	(114)	342535	1

###237	8.8	0.0	0.0	F11	24484656	24484689	34	+	EnSpm-1_GR	DNA/EnSpmCACTA	4032	4065	(4742)	342533	1	0.004

###34883	14.7	1.6	1.6	F11	27211986	27218228	6440	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2368	343640	1	0.731

###19863/12981	14.978	1.578	2.212	F11	28801786	28807741	5981	+	EnSpm-1_GR	DNA/EnSpmCACTA	2686	8807	(0)	344300/344301	2	0.679
19863	14.4	1.0	1.1	F11	28801786	28805094	3290	+	EnSpm-1_GR	DNA/EnSpmCACTA	2686	5975	(2832)	344300	1
12981	15.7	2.3	3.6	F11	28805092	28807741	2691	+	EnSpm-1_GR	DNA/EnSpmCACTA	6117	8807	(0)	344301	1

###465/351/1147/240	33.880	2.651	2.365	F11	28858303	28860163	1463	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3487)	5320	3502	344318/344318/344318/344318	4	0.166
465	35.4	2.0	1.8	F11	28858303	28858693	392	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3487)	5320	4929	344318	1
351	30.6	0.8	0.0	F11	28858858	28858978	122	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4046)	4761	4640	344318	1
1147	34.8	2.6	2.3	F11	28859114	28859883	772	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4254)	4553	3782	344318	1
240	27.9	6.8	6.8	F11	28859987	28860163	177	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5129)	3678	3502	344318	1

###12084/8491/280	15.985	1.990	3.996	F11	30213945	30220531	4505	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	344852/344853/344854	3	0.512
12084	16.5	0.8	4.5	F11	30213945	30216434	2488	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6320	344852	1
8491	15.1	3.7	3.3	F11	30216430	30218002	1951	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4684)	4123	2173	344853	1
280	17.7	6.3	1.5	F11	30220469	30220531	66	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8741)	66	1	344854	1

###241	13.9	4.7	0.0	F11	30222093	30222135	45	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8763	344855	1	0.005

###267/34070	14.818	1.883	1.196	F11	32899874	32905913	6110	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2695	345969/345969	2	0.694
267	21.1	6.3	6.3	F11	32899874	32899984	111	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8697	345969	1
34070	14.7	1.8	1.1	F11	32900029	32905913	5999	C	EnSpm-1_GR	DNA/EnSpmCACTA	(114)	8693	2695	345969	1

