Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-12_OS	12603	5	5	NA	260	0.00
DNA/EnSpmCACTA	EnSpm-1_GR	8807	139	91	NA	252823	0.28
###DNA/EnSpmCACTA	All_elements	NA	144	96	NA	253083	0.2780

DNA/L1	L1-1_GR	5704	52	26	NA	65946	0.07
###DNA/L1	All_elements	NA	52	26	NA	65946	0.0724

DNA/MuDR	MuDR-1_GR	7211	63	56	NA	35272	0.04
DNA/MuDR	MuDR-2_GR	6708	142	99	NA	116084	0.13
DNA/MuDR	MuDR-3_GR	4333	78	76	NA	14868	0.02
DNA/MuDR	MuDR-4_GR	7191	318	140	NA	339994	0.37
DNA/MuDR	MuDR-5_GR	7783	164	95	NA	144057	0.16
###DNA/MuDR	All_elements	NA	765	466	NA	650275	0.7144

DNA/hAT	ZhAT14_ZM	3349	5	3	NA	3509	0.00
DNA/hAT	hAT-1_GR	4719	57	29	NA	30632	0.03
DNA/hAT	hAT-1_TC	3200	2	2	NA	3591	0.00
DNA/hAT	hAT-2_GR	5255	18	10	NA	10333	0.01
DNA/hAT	hAT-2_PTr	3354	1	1	NA	576	0.00
DNA/hAT	hAT-4_PTr	3687	2	2	NA	2258	0.00
DNA/hAT	hAT-6_SBi	3445	3	3	NA	1143	0.00
###DNA/hAT	All_elements	NA	88	50	NA	52042	0.0572

DNA/hAT-Tip100	ZhAT14_ZM	3349	6	3	NA	4597	0.01
###DNA/hAT-Tip100	All_elements	NA	6	3	NA	4597	0.0051

######Type:DNA	All_elements	NA	1055	641	NA	1025943	1.1271

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Copia	ATCOPIA10_I-int	No_ref_available	1	1	0	64	0.00
LTR/Copia	ATCOPIA28_I-int	No_ref_available	4	3	0	3418	0.00
LTR/Copia	ATCOPIA95_I-int	No_ref_available	1	1	0	40	0.00
LTR/Copia	COP14_I_MT-int	No_ref_available	1	1	0	355	0.00
LTR/Copia	COP18_I_MT-int	No_ref_available	1	1	0	130	0.00
LTR/Copia	COP8_I_MT-int	No_ref_available	1	1	0	111	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	2	2	0	350	0.00
LTR/Copia	Copia-10_CP-I	No_ref_available	2	1	0	3156	0.00
LTR/Copia	Copia-11_GR-I	No_ref_available	4	1	0	3421	0.00
LTR/Copia	Copia-12_TC-I	No_ref_available	17	12	0	13329	0.01
LTR/Copia	Copia-13_AIp-I	No_ref_available	2	2	0	853	0.00
LTR/Copia	Copia-13_ECa-I	No_ref_available	1	1	0	48	0.00
LTR/Copia	Copia-13_PPe-I	No_ref_available	1	1	0	77	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	4	3	0	495	0.00
LTR/Copia	Copia-14_GR-I	5729	90	42	8	105128	0.12
LTR/Copia	Copia-15_ECa-I	No_ref_available	2	1	0	708	0.00
LTR/Copia	Copia-15_GR-I	371	294	225	15	669339	0.74
LTR/Copia	Copia-15_JC-I	No_ref_available	2	2	0	4035	0.00
LTR/Copia	Copia-15_TC-I	No_ref_available	1	1	0	323	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	20	11	0	22457	0.02
LTR/Copia	Copia-17_GR-I	No_ref_available	2	2	0	410	0.00
LTR/Copia	Copia-18_NN-I	No_ref_available	1	1	0	2725	0.00
LTR/Copia	Copia-18_PTri-I	No_ref_available	1	1	0	3180	0.00
LTR/Copia	Copia-19_GR-I	No_ref_available	2	2	0	7364	0.01
LTR/Copia	Copia-19_TC-I	No_ref_available	4	2	0	2421	0.00
LTR/Copia	Copia-1_BDi-I	No_ref_available	3	2	0	438	0.00
LTR/Copia	Copia-1_GR-I	1489	283	143	100	256472	0.28
LTR/Copia	Copia-1_NN-I	No_ref_available	1	1	0	4067	0.00
LTR/Copia	Copia-20_GM-I	No_ref_available	1	1	0	195	0.00
LTR/Copia	Copia-20_GR-I	No_ref_available	2	1	0	111	0.00
LTR/Copia	Copia-20_NN-I	No_ref_available	2	1	0	592	0.00
LTR/Copia	Copia-21_GR-I	No_ref_available	2	2	0	4161	0.00
LTR/Copia	Copia-21_ST-I	No_ref_available	3	1	0	2663	0.00
LTR/Copia	Copia-22_ECa-I	No_ref_available	1	1	0	702	0.00
LTR/Copia	Copia-22_GR-I	No_ref_available	4	1	0	3315	0.00
LTR/Copia	Copia-23_GR-I	485	192	72	16	114213	0.13
LTR/Copia	Copia-24_GR-I	1164	128	69	23	96682	0.11
LTR/Copia	Copia-24_PX-I	No_ref_available	3	2	0	5662	0.01
LTR/Copia	Copia-25_RC-I	No_ref_available	9	7	0	8481	0.01
LTR/Copia	Copia-26_ECa-I	No_ref_available	1	1	0	608	0.00
LTR/Copia	Copia-26_GR-I	No_ref_available	1	1	0	1806	0.00
LTR/Copia	Copia-27_ECa-I	No_ref_available	5	3	0	4379	0.00
LTR/Copia	Copia-27_GM-I	No_ref_available	3	2	0	1092	0.00
LTR/Copia	Copia-27_GR-I	No_ref_available	4	3	0	4549	0.00
LTR/Copia	Copia-27_MN-I	No_ref_available	3	1	0	3276	0.00
LTR/Copia	Copia-28_GR-I	No_ref_available	4	3	0	8410	0.01
LTR/Copia	Copia-29_AIp-I	No_ref_available	5	2	0	3209	0.00
LTR/Copia	Copia-29_MN-I	No_ref_available	7	5	0	7765	0.01
LTR/Copia	Copia-2_AIp-I	No_ref_available	1	1	0	60	0.00
LTR/Copia	Copia-2_SL-I	No_ref_available	1	1	0	467	0.00
LTR/Copia	Copia-30_ATr-I	No_ref_available	3	3	0	895	0.00
LTR/Copia	Copia-30_GR-I	No_ref_available	9	4	0	11612	0.01
LTR/Copia	Copia-30_TC-I	No_ref_available	5	5	0	2027	0.00
LTR/Copia	Copia-31_ECa-I	No_ref_available	2	2	0	157	0.00
LTR/Copia	Copia-31_GR-I	No_ref_available	1	1	0	2173	0.00
