Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###18585	15.6	2.4	3.1	F13	3487912	3491554	3712	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	5096	404943	1	0.421

###4570/286/27377	15.514	0.796	0.906	F13	4023242	4030098	5598	+	EnSpm-1_GR	DNA/EnSpmCACTA	2906	8550	(257)	405059/405062/405063	3	0.636
4570	15.1	0.1	0.0	F13	4023242	4023983	743	+	EnSpm-1_GR	DNA/EnSpmCACTA	2906	3648	(5159)	405059	1
286	2.9	0.0	0.0	F13	4025290	4025319	30	+	EnSpm-1_GR	DNA/EnSpmCACTA	3642	3671	(5136)	405062	1
27377	15.9	1.1	1.3	F13	4025323	4030098	4832	+	EnSpm-1_GR	DNA/EnSpmCACTA	3719	8550	(257)	405063	1

###231/2470/4228/232	16.068	2.498	5.920	F13	4079811	4084222	1777	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	405075/405077/405078/405079	4	0.202
231	22.6	4.7	3.1	F13	4079811	4079874	65	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	66	(8741)	405075	1
2470	15.0	2.3	6.8	F13	4082463	4083102	582	+	EnSpm-1_GR	DNA/EnSpmCACTA	2555	3136	(5671)	405077	1
4228	15.9	2.6	4.4	F13	4083099	4084067	1027	+	EnSpm-1_GR	DNA/EnSpmCACTA	7667	8693	(114)	405078	1
232	29.4	0.9	2.9	F13	4084118	4084222	103	+	EnSpm-1_GR	DNA/EnSpmCACTA	8705	8807	(0)	405079	1

###259	22.2	4.8	0.0	F13	4079959	4080021	66	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	66	(8741)	405076	1	0.007

###240	9.1	0.0	0.0	F13	4463155	4463187	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	405139	1	0.004

###265	5.4	0.0	2.7	F13	4463327	4463364	37	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8771	405140	1	0.004

###27230/4828	16.000	0.942	0.941	F13	6247019	6256490	5649	C	EnSpm-1_GR	DNA/EnSpmCACTA	(253)	8554	2906	405574/405574	2	0.641
27230	16.0	1.0	1.1	F13	6247019	6251760	4848	C	EnSpm-1_GR	DNA/EnSpmCACTA	(253)	8554	3707	405574	1
4828	16.0	0.6	0.0	F13	6255690	6256490	806	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5096)	3711	2906	405574	1

###276/34500	14.117	1.699	1.583	F13	6271168	6279310	6096	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8788	(19)	405579/405580	2	0.692
276	25.0	1.6	0.0	F13	6271168	6271231	65	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	66	(8741)	405579	1
34500	14.0	1.7	1.6	F13	6273358	6279310	6031	+	EnSpm-1_GR	DNA/EnSpmCACTA	2758	8788	(19)	405580	1

###24691	14.5	2.0	0.6	F13	6370636	6374781	4196	+	EnSpm-1_GR	DNA/EnSpmCACTA	2632	6827	(1980)	405607	1	0.476

###34279	15.5	1.4	1.6	F13	6558350	6564458	6101	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2707	405672	1	0.693

###19619/15020/229	14.897	1.171	2.208	F13	9896914	9903213	6212	+	EnSpm-1_GR	DNA/EnSpmCACTA	2460	8807	(0)	406802/406803/406804	3	0.705
19619	14.6	1.3	1.3	F13	9896914	9900230	3317	+	EnSpm-1_GR	DNA/EnSpmCACTA	2460	5776	(3031)	406802	1
15020	15.3	1.0	3.3	F13	9900226	9903058	2857	+	EnSpm-1_GR	DNA/EnSpmCACTA	5837	8693	(114)	406803	1
229	10.8	2.7	0.0	F13	9903177	9903213	38	+	EnSpm-1_GR	DNA/EnSpmCACTA	8770	8807	(0)	406804	1

###231	15.4	0.0	0.0	F13	10319376	10319414	39	+	EnSpm-1_GR	DNA/EnSpmCACTA	8769	8807	(0)	406964	1	0.004

###5709	15.2	3.6	0.5	F13	10364568	10365662	1129	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5255)	3552	2424	406971	1	0.128

###5656	15.5	3.9	3.3	F13	10439778	10441012	1300	+	EnSpm-1_GR	DNA/EnSpmCACTA	7395	8694	(113)	407000	1	0.148

