Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###18239	15.3	2.5	2.4	F09	2145693	2149101	3413	C	EnSpm-1_GR	DNA/EnSpmCACTA	(114)	8693	5281	279192	1	0.388

###32167/234	16.540	1.334	1.781	F09	3789225	3797116	6191	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	279678/279680	2	0.703
32167	16.5	1.2	1.8	F09	3789225	3795313	6118	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2690	279678	1
234	20.3	14.1	0.0	F09	3797053	3797116	73	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8734)	73	1	279680	1

###5495	17.8	4.2	4.0	F09	3870990	3872382	1472	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7336	279689	1	0.167

###257	8.3	0.0	0.0	F09	5040918	5040953	36	+	EnSpm-1_GR	DNA/EnSpmCACTA	8771	8806	(1)	280033	1	0.004

###829/225	18.290	5.039	5.668	F09	5041073	5041613	463	C	EnSpm-1_GR	DNA/EnSpmCACTA	(110)	8697	1021	280034/280035	2	0.053
829	18.2	5.6	6.3	F09	5041073	5041449	421	C	EnSpm-1_GR	DNA/EnSpmCACTA	(110)	8697	8277	280034	1
225	19.1	0.0	0.0	F09	5041572	5041613	42	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7745)	1062	1021	280035	1

###256/5425/2011	15.935	2.560	3.577	F09	5252470	5254398	2225	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2248	280081/280081/280082	3	0.253
256	25.0	3.5	4.5	F09	5252470	5252582	112	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8696	280081	1
5425	16.2	0.9	2.8	F09	5252625	5253808	1225	C	EnSpm-1_GR	DNA/EnSpmCACTA	(114)	8693	7469	280081	1
2011	13.6	5.8	5.0	F09	5253807	5254398	888	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5672)	3135	2248	280082	1

###34949	15.0	1.2	2.9	F09	6186169	6192590	6303	+	EnSpm-1_GR	DNA/EnSpmCACTA	2505	8807	(0)	280361	1	0.716

###33984/252/248	15.387	2.311	2.134	F09	8192396	8202519	6677	C	EnSpm-1_GR	DNA/EnSpmCACTA	(119)	8688	1	281026/281027/281028	3	0.758
33984	15.3	2.3	2.1	F09	8192396	8198552	6541	C	EnSpm-1_GR	DNA/EnSpmCACTA	(119)	8688	2148	281026	1
252	16.9	1.4	4.2	F09	8199307	8199380	72	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7704)	1103	1032	281027	1
248	22.9	4.8	3.1	F09	8202457	8202519	64	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8743)	64	1	281028	1

###388/33738	15.649	0.819	1.409	F09	8347747	8354076	6072	+	EnSpm-1_GR	DNA/EnSpmCACTA	996	8688	(119)	281085/281086	2	0.689
388	18.4	1.9	1.9	F09	8347747	8347851	105	+	EnSpm-1_GR	DNA/EnSpmCACTA	996	1100	(7707)	281085	1
33738	15.6	0.8	1.4	F09	8348152	8354076	5967	+	EnSpm-1_GR	DNA/EnSpmCACTA	2722	8688	(119)	281086	1

###34067	15.0	2.1	1.4	F09	10906072	10912081	6131	+	EnSpm-1_GR	DNA/EnSpmCACTA	2558	8688	(119)	282261	1	0.696

###9838/8323/7391/4966/2536	15.672	1.667	1.841	F09	11069901	11080938	6345	+	EnSpm-1_GR	DNA/EnSpmCACTA	2356	8807	(0)	282327/282331/282332/282333/282335	5	0.720
