Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###230	3.2	6.5	0.0	F10	5548088	5548118	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	303439	1	0.004

###265/335/32758	16.847	1.669	2.006	F10	5549563	5559791	6235	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8693	(114)	303440/303441/303442	3	0.708
265	23.1	1.5	3.0	F10	5549563	5549629	66	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	66	(8741)	303440	1
335	16.5	1.2	1.2	F10	5551851	5551930	80	+	EnSpm-1_GR	DNA/EnSpmCACTA	1021	1100	(7707)	303441	1
32758	15.8	1.8	2.0	F10	5553776	5559791	6089	+	EnSpm-1_GR	DNA/EnSpmCACTA	2605	8693	(114)	303442	1

###236	11.4	4.5	0.0	F10	5689114	5689157	46	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8762	303471	1	0.005

###225	9.5	7.1	0.0	F10	5689262	5689303	45	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1)	8806	8762	303471	1	0.005

###425/34640	15.338	1.720	1.377	F10	5944649	5951086	6201	+	EnSpm-1_GR	DNA/EnSpmCACTA	996	8807	(0)	303535/303536	2	0.704
425	17.6	2.9	0.0	F10	5944649	5944750	105	+	EnSpm-1_GR	DNA/EnSpmCACTA	996	1100	(7707)	303535	1
34640	15.3	1.7	1.4	F10	5945012	5951086	6096	+	EnSpm-1_GR	DNA/EnSpmCACTA	2712	8807	(0)	303536	1

###4868/18833/1772/4666/4443	16.299	1.004	0.814	F10	6519836	6534489	5628	+	EnSpm-1_GR	DNA/EnSpmCACTA	2906	8533	(274)	303695/303702/303704/303705/303706	5	0.639
4868	16.4	0.0	0.0	F10	6519836	6520641	806	+	EnSpm-1_GR	DNA/EnSpmCACTA	2906	3711	(5096)	303695	1
18833	15.8	0.8	0.8	F10	6524069	6527245	3179	+	EnSpm-1_GR	DNA/EnSpmCACTA	3708	6886	(1921)	303702	1
1772	20.4	0.0	1.1	F10	6532028	6532394	363	+	EnSpm-1_GR	DNA/EnSpmCACTA	6883	7245	(1562)	303704	1
4666	17.9	1.9	1.8	F10	6532392	6533359	969	+	EnSpm-1_GR	DNA/EnSpmCACTA	6645	7613	(1194)	303705	1
4443	16.9	5.6	1.9	F10	6533594	6534489	928	+	EnSpm-1_GR	DNA/EnSpmCACTA	7606	8533	(274)	303706	1

###9901/322/288	14.868	1.264	0.317	F10	7540020	7549703	1779	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4339)	4468	3	303892/303892/303896	3	0.202
9901	15.0	0.3	0.0	F10	7540020	7541577	1563	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4339)	4468	2906	303892	1
322	10.8	10.4	3.5	F10	7541776	7541909	143	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6232)	2575	2433	303892	1
288	20.3	5.7	1.4	F10	7549634	7549703	73	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8732)	75	3	303896	1

###225	6.2	6.2	0.0	F10	8508270	8508301	34	+	EnSpm-1_GR	DNA/EnSpmCACTA	8774	8807	(0)	304152	1	0.004

###34507	14.9	1.1	2.2	F10	8553007	8559290	6274	+	EnSpm-1_GR	DNA/EnSpmCACTA	2415	8688	(119)	304157	1	0.712

###227/34864	15.076	1.393	1.991	F10	10661317	10673296	6285	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	8807	(0)	304807/304809	2	0.714
227	10.0	0.0	0.0	F10	10661317	10661346	30	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	32	(8775)	304807	1
34864	15.1	1.4	2.0	F10	10667004	10673296	6255	+	EnSpm-1_GR	DNA/EnSpmCACTA	2553	8807	(0)	304809	1

###242	10.8	0.0	0.0	F10	10673392	10673428	37	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8771	304810	1	0.004

###34968	14.9	1.4	2.1	F10	11164056	11170282	6282	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2526	304967	1	0.713

###246	0.0	6.5	0.0	F10	11447778	11447808	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8775	304997	1	0.004

###253	3.0	3.0	0.0	F10	11447934	11447966	34	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8774	304997	1	0.004

###241	5.7	2.9	0.0	F10	11449004	11449038	36	+	EnSpm-1_GR	DNA/EnSpmCACTA	8772	8807	(0)	304999	1	0.004

###9196/20759/288	15.164	0.966	2.660	F10	11453306	11458906	5479	+	EnSpm-1_GR	DNA/EnSpmCACTA	2546	8807	(0)	305000/305001/305002	3	0.622
