Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###32026/269	16.408	1.728	1.980	F06	2694895	2707267	6736	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	169393/169394	2	0.765
32026	16.4	1.6	2.0	F06	2694895	2701080	6663	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2145	169393	1
269	17.2	14.1	0.0	F06	2707204	2707267	73	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8734)	73	1	169394	1

###287	5.4	0.0	0.0	F06	4483446	4483482	37	+	EnSpm-1_GR	DNA/EnSpmCACTA	8771	8807	(0)	169737	1	0.004

###32790/242	15.707	1.788	2.881	F06	4483493	4491008	6624	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1021	169738/169739	2	0.752
32790	15.7	1.8	2.9	F06	4483493	4489753	6582	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2226	169738	1
242	16.7	0.0	0.0	F06	4490967	4491008	42	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7745)	1062	1021	169739	1

###238	3.1	6.2	0.0	F06	4500604	4500635	34	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8774	169747	1	0.004

###230	3.2	6.5	0.0	F06	4662402	4662432	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	169784	1	0.004

###20484/6370/261	16.469	2.613	1.014	F06	4662443	4675627	5750	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	169785/169786/169792	3	0.653
20484	16.4	2.4	0.7	F06	4662443	4666362	4054	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	4754	169785	1
6370	16.4	3.1	1.9	F06	4666371	4667620	1628	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5036)	3771	2144	169786	1
261	21.9	6.1	2.9	F06	4675562	4675627	68	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8738)	69	2	169792	1

###265/14344/976	15.508	3.127	0.751	F06	4892496	4896542	2984	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	8807	(0)	169862/169864/169865	3	0.339
265	23.8	1.6	0.0	F06	4892496	4892558	64	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	66	(8741)	169862	1
14344	14.6	3.0	0.4	F06	4893709	4896206	2562	+	EnSpm-1_GR	DNA/EnSpmCACTA	5801	8362	(445)	169864	1
976	22.6	4.8	4.5	F06	4896186	4896542	358	+	EnSpm-1_GR	DNA/EnSpmCACTA	8450	8807	(0)	169865	1

###274	22.6	4.7	3.1	F06	4892726	4892789	65	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	66	(8741)	169863	1	0.007

###247	3.5	0.0	0.0	F06	6282309	6282337	29	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8803	(4)	170154	1	0.003

###31564	16.5	1.9	2.1	F06	6289807	6295956	6663	+	EnSpm-1_GR	DNA/EnSpmCACTA	2145	8807	(0)	170155	1	0.757

###260/1329/33009	14.777	1.321	1.945	F06	7770376	7779562	6152	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2642	170509/170509/170509	3	0.699
260	22.9	4.9	5.9	F06	7770376	7770477	101	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8707	170509	1
1329	17.1	6.2	7.0	F06	7770530	7770997	536	C	EnSpm-1_GR	DNA/EnSpmCACTA	(114)	8693	8158	170509	1
33009	14.4	0.8	1.4	F06	7774018	7779562	5515	C	EnSpm-1_GR	DNA/EnSpmCACTA	(651)	8156	2642	170509	1

###1426	18.0	6.4	7.6	F06	10109128	10109637	568	C	EnSpm-1_GR	DNA/EnSpmCACTA	(113)	8694	8127	171229	1	0.064

###3381/2538/3985/312	15.706	4.873	0.365	F06	10132068	10139091	1981	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1386)	7421	2714	171236/171237/171237/171237	4	0.225
3381	15.1	10.2	0.6	F06	10132068	10132742	740	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1386)	7421	6682	171236	1
2538	15.8	0.3	0.0	F06	10132739	10133125	388	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4798)	4009	3622	171237	1
